match_number,group,team_a,team_b,v4_auto_score,final_score,changed,rule_triggered,change_type,overlay_diff,team_a_category,team_b_category,rule_components,reason,deterministic_yes_no
1,A,Mexico,South Africa,1-0,1-0,False,,none,1.0,useful_context,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(useful_context),yes
2,A,Korea Republic,Czechia,1-0,1-0,False,,none,-1.0,useful_context,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(useful_context),yes
3,B,Canada,Bosnia and Herzegovina,1-0,1-0,False,,none,2.0,high_variance,fragile,weak_side_fragile | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(high_variance),yes
4,D,USA,Paraguay,0-1,0-1,False,,none,-2.25,high_variance,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(high_variance),yes
5,C,Brazil,Morocco,1-0,1-0,False,,none,0.5,positive,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(positive),yes
6,D,Australia,Türkiye,0-1,0-1,False,,none,-5.25,high_variance,elite_upside,abs_overlay_diff>=5 | strong_side_elite_upside | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: weak_side_not_fragile_or_low(high_variance),yes
7,C,Haiti,Scotland,0-1,0-1,False,,none,-1.75,fragile,high_variance,weak_side_fragile | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(high_variance),yes
8,B,Qatar,Switzerland,0-2,0-2,False,,none,-3.25,fragile,positive,strong_side_positive | weak_side_fragile,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; base_v4_not_narrow(margin=-2),yes
9,E,Germany,Curaçao,2-0,2-0,False,,none,1.0,useful_context,high_variance,,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(high_variance); base_v4_not_narrow(margin=+2),yes
10,E,Côte d'Ivoire,Ecuador,0-1,0-1,False,,none,-1.25,useful_context,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(useful_context),yes
11,F,Netherlands,Japan,1-0,1-0,False,,none,-2.25,useful_context,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(useful_context),yes
12,F,Sweden,Tunisia,0-1,0-1,False,,none,4.0,positive,fragile,strong_side_positive | weak_side_fragile | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5,yes
13,H,Spain,Cabo Verde,3-0,3-0,False,,none,4.25,elite_upside,useful_context,strong_side_elite_upside,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(useful_context); base_v4_not_narrow(margin=+3),yes
14,H,Saudi Arabia,Uruguay,0-1,0-1,False,,none,-2.75,high_variance,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(high_variance),yes
15,G,Belgium,Egypt,1-0,1-0,False,,none,-2.25,high_variance,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(high_variance),yes
16,G,IR Iran,New Zealand,1-0,1-0,False,,none,-3.5,fragile,useful_context,weak_side_fragile | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context),yes
17,I,France,Senegal,1-0,1-0,False,,none,5.25,elite_upside,high_variance,abs_overlay_diff>=5 | strong_side_elite_upside | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: weak_side_not_fragile_or_low(high_variance),yes
18,I,Iraq,Norway,0-2,0-2,False,,none,-3.0,useful_context,positive,strong_side_positive,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(useful_context); base_v4_not_narrow(margin=-2),yes
19,J,Argentina,Algeria,2-0,2-0,False,,none,4.25,positive,fragile,strong_side_positive | weak_side_fragile,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; base_v4_not_narrow(margin=+2),yes
20,J,Austria,Jordan,1-0,1-0,False,,none,2.0,useful_context,fragile,weak_side_fragile | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context),yes
21,L,England,Croatia,1-0,2-0,True,R1_only_diff_5_0,favourite_strengthened,6.25,elite_upside,fragile,abs_overlay_diff>=5 | strong_side_elite_upside | weak_side_fragile | base_v4_narrow_or_conservative,Stronger objective-residual side wins narrowly; add one goal to the favourite (max one-goal margin adjustment).,yes
22,L,Ghana,Panama,0-1,0-1,False,,none,-0.5,high_variance,fragile,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(fragile); weak_side_not_fragile_or_low(high_variance),yes
23,K,Portugal,Congo DR,1-0,2-0,True,R1_only_diff_5_0,favourite_strengthened,6.5,elite_upside,fragile,abs_overlay_diff>=5 | strong_side_elite_upside | weak_side_fragile | base_v4_narrow_or_conservative,Stronger objective-residual side wins narrowly; add one goal to the favourite (max one-goal margin adjustment).,yes
24,K,Uzbekistan,Colombia,0-1,0-1,False,,none,-1.0,positive,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(positive),yes
25,A,Mexico,Korea Republic,1-0,1-0,False,,none,0.5,useful_context,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(useful_context),yes
26,B,Canada,Qatar,2-0,2-0,False,,none,1.75,high_variance,fragile,weak_side_fragile,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(high_variance); base_v4_not_narrow(margin=+2),yes
27,B,Switzerland,Bosnia and Herzegovina,2-0,2-0,False,,none,3.5,positive,fragile,strong_side_positive | weak_side_fragile,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; base_v4_not_narrow(margin=+2),yes
28,A,Czechia,South Africa,1-0,1-0,False,,none,1.5,useful_context,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(useful_context),yes
29,C,Brazil,Haiti,2-0,2-0,False,,none,5.5,positive,fragile,abs_overlay_diff>=5 | strong_side_positive | weak_side_fragile,R1_only_diff_5_0 not satisfied: base_v4_not_narrow(margin=+2),yes
30,C,Scotland,Morocco,0-1,0-1,False,,none,-3.25,high_variance,positive,strong_side_positive | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(high_variance),yes
31,D,USA,Australia,0-1,0-1,False,,none,-1.25,high_variance,high_variance,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(high_variance); weak_side_not_fragile_or_low(high_variance),yes
32,D,Türkiye,Paraguay,1-0,1-0,False,,none,4.25,elite_upside,useful_context,strong_side_elite_upside | base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; weak_side_not_fragile_or_low(useful_context),yes
33,E,Germany,Côte d'Ivoire,1-0,1-0,False,,none,-0.5,useful_context,useful_context,base_v4_narrow_or_conservative,R1_only_diff_5_0 not satisfied: abs_overlay_diff<5; strong_side_not_elite_or_positive(useful_context); weak_side_not_fragile_or_low(useful_context),yes
