match_number,group,team_a,team_b,candidate_source,candidate_score,expected_points,model_confidence,is_ev,is_safe,is_contrarian,notes
1,A,Mexico,South Africa,safe_score,1-0,8.037,0.632,False,True,False,Primary deterministic safe recommendation.
1,A,Mexico,South Africa,ev_score,1-0,8.037,0.632,True,False,False,nan
1,A,Mexico,South Africa,most_probable_score,1-0,8.037,0.632,False,False,False,Primary most probable scoreline.
1,A,Mexico,South Africa,expected_points_max_score,1-0,8.037,0.632,True,False,False,Primary expected-points-max scoreline.
1,A,Mexico,South Africa,ensemble_score,1-0,8.037,0.6801,False,False,False,Equal-weight ensemble safe recommendation.
2,A,Korea Republic,Czechia,safe_score,1-0,7.179,0.4531,False,True,False,Primary deterministic safe recommendation.
2,A,Korea Republic,Czechia,ev_score,1-1,7.249,0.2643,True,False,True,CONTRARIAN: EV backs higher-odds outcome vs most-probable; SAFE_SCORE_ALIGNED_TO_MODEL_OUTCOME
2,A,Korea Republic,Czechia,most_probable_score,1-1,7.249,0.2643,False,False,False,Primary most probable scoreline.
2,A,Korea Republic,Czechia,expected_points_max_score,1-1,7.249,0.2643,True,False,True,Primary expected-points-max scoreline.
2,A,Korea Republic,Czechia,ensemble_score,1-0,7.179,0.4009,False,False,False,Equal-weight ensemble safe recommendation.
3,B,Canada,Bosnia and Herzegovina,safe_score,1-0,8.02,0.5675,False,True,False,Primary deterministic safe recommendation.
3,B,Canada,Bosnia and Herzegovina,ev_score,1-0,8.02,0.5675,True,False,False,nan
3,B,Canada,Bosnia and Herzegovina,most_probable_score,1-0,8.02,0.5675,False,False,False,Primary most probable scoreline.
3,B,Canada,Bosnia and Herzegovina,expected_points_max_score,1-0,8.02,0.5675,True,False,False,Primary expected-points-max scoreline.
3,B,Canada,Bosnia and Herzegovina,ensemble_score,1-0,8.02,0.5668,False,False,False,Equal-weight ensemble safe recommendation.
4,D,USA,Paraguay,safe_score,0-1,10.527,0.4458,False,True,False,Primary deterministic safe recommendation.
4,D,USA,Paraguay,ev_score,0-1,10.527,0.4458,True,False,False,VALUE_EDGE>0.10 vs template; SAFE_SCORE_ALIGNED_TO_MODEL_OUTCOME
4,D,USA,Paraguay,most_probable_score,1-1,,0.2666,False,False,False,Primary most probable scoreline.
4,D,USA,Paraguay,expected_points_max_score,0-1,10.527,0.4458,True,False,False,Primary expected-points-max scoreline.
4,D,USA,Paraguay,ensemble_score,0-1,10.527,0.4579,False,False,False,Equal-weight ensemble safe recommendation.
5,C,Brazil,Morocco,safe_score,1-0,8.169,0.4598,False,True,False,Primary deterministic safe recommendation.
5,C,Brazil,Morocco,ev_score,1-0,8.169,0.4598,True,False,False,VALUE_EDGE>0.10 vs template; SAFE_SCORE_ALIGNED_TO_MODEL_OUTCOME
5,C,Brazil,Morocco,most_probable_score,1-1,,0.27,False,False,False,Primary most probable scoreline.
5,C,Brazil,Morocco,expected_points_max_score,1-0,8.169,0.4598,True,False,False,Primary expected-points-max scoreline.
5,C,Brazil,Morocco,ensemble_score,1-0,8.169,0.4792,False,False,False,Equal-weight ensemble safe recommendation.
6,D,Australia,Türkiye,safe_score,0-1,8.024,0.4621,False,True,False,Primary deterministic safe recommendation.
6,D,Australia,Türkiye,ev_score,0-1,8.024,0.4621,True,False,False,SAFE_SCORE_ALIGNED_TO_MODEL_OUTCOME
6,D,Australia,Türkiye,most_probable_score,1-1,,0.2614,False,False,False,Primary most probable scoreline.
6,D,Australia,Türkiye,expected_points_max_score,0-1,8.024,0.4621,True,False,False,Primary expected-points-max scoreline.
6,D,Australia,Türkiye,ensemble_score,0-1,8.024,0.4462,False,False,False,Equal-weight ensemble safe recommendation.
7,C,Haiti,Scotland,safe_score,0-1,7.91,0.5896,False,True,False,Primary deterministic safe recommendation.
7,C,Haiti,Scotland,ev_score,0-1,7.91,0.5896,True,False,False,nan
7,C,Haiti,Scotland,most_probable_score,0-1,7.91,0.5896,False,False,False,Primary most probable scoreline.
7,C,Haiti,Scotland,expected_points_max_score,0-1,7.91,0.5896,True,False,False,Primary expected-points-max scoreline.
7,C,Haiti,Scotland,ensemble_score,0-1,7.91,0.595,False,False,False,Equal-weight ensemble safe recommendation.
8,B,Qatar,Switzerland,safe_score,0-2,11.115,0.8538,False,True,False,Primary deterministic safe recommendation.
8,B,Qatar,Switzerland,ev_score,0-2,11.115,0.8538,True,False,False,VALUE_EDGE>0.10 vs template
8,B,Qatar,Switzerland,most_probable_score,0-2,11.115,0.8538,False,False,False,Primary most probable scoreline.
8,B,Qatar,Switzerland,expected_points_max_score,0-2,11.115,0.8538,True,False,False,Primary expected-points-max scoreline.
8,B,Qatar,Switzerland,ensemble_score,0-2,11.115,0.8202,False,False,False,Equal-weight ensemble safe recommendation.
9,E,Germany,Curaçao,safe_score,2-0,8.096,0.7841,False,True,False,Primary deterministic safe recommendation.
9,E,Germany,Curaçao,ev_score,2-0,8.096,0.7841,True,False,False,VALUE_EDGE>0.10 vs template
9,E,Germany,Curaçao,most_probable_score,2-0,8.096,0.7841,False,False,False,Primary most probable scoreline.
9,E,Germany,Curaçao,expected_points_max_score,2-0,8.096,0.7841,True,False,False,Primary expected-points-max scoreline.
9,E,Germany,Curaçao,ensemble_score,2-0,8.096,0.7835,False,False,False,Equal-weight ensemble safe recommendation.
10,E,Côte d'Ivoire,Ecuador,safe_score,0-1,9.373,0.5765,False,True,False,Primary deterministic safe recommendation.
10,E,Côte d'Ivoire,Ecuador,ev_score,0-1,9.373,0.5765,True,False,False,VALUE_EDGE>0.10 vs template
10,E,Côte d'Ivoire,Ecuador,most_probable_score,0-1,9.373,0.5765,False,False,False,Primary most probable scoreline.
10,E,Côte d'Ivoire,Ecuador,expected_points_max_score,0-1,9.373,0.5765,True,False,False,Primary expected-points-max scoreline.
10,E,Côte d'Ivoire,Ecuador,ensemble_score,0-1,9.373,0.5833,False,False,False,Equal-weight ensemble safe recommendation.
11,F,Netherlands,Japan,safe_score,1-0,7.304,0.4706,False,True,False,Primary deterministic safe recommendation.
11,F,Netherlands,Japan,ev_score,1-0,7.304,0.4706,True,False,False,SAFE_SCORE_ALIGNED_TO_MODEL_OUTCOME
11,F,Netherlands,Japan,most_probable_score,1-1,,0.2578,False,False,False,Primary most probable scoreline.
11,F,Netherlands,Japan,expected_points_max_score,1-0,7.304,0.4706,True,False,False,Primary expected-points-max scoreline.
11,F,Netherlands,Japan,ensemble_score,1-0,7.304,0.4658,False,False,False,Equal-weight ensemble safe recommendation.
