raw_name,source,candidate_canonical_team_name,candidate_country_code,match_method,confidence,evidence,needs_review,notes
Brunei Darussalam,fifa_ranking,Brunei,BRU,curated_alias,high,backbone 'Brunei' not in fifa_ranking; source has 'Brunei Darussalam' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Brunei Darussalam', 'Brunei') to join"
Cabo Verde,fifa_ranking,Cape Verde,CPV,curated_alias,high,backbone 'Cape Verde' not in fifa_ranking; source has 'Cabo Verde' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Cabo Verde', 'Cape Verde') to join"
China,international_elo,China PR,,curated_alias,high,backbone 'China PR' not in international_elo; source has 'China' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'China', 'China PR') to join"
Curacao,fifa_ranking,Curaçao,CUW,deaccent_case,high,backbone 'Curaçao' not in fifa_ranking; source has 'Curacao' (deaccent_case); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Curacao', 'Curaçao') to join"
Czechia,fifa_ranking,Czech Republic,CZE,curated_alias,high,backbone 'Czech Republic' not in fifa_ranking; source has 'Czechia' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Czechia', 'Czech Republic') to join"
Czechia,international_elo,Czech Republic,,curated_alias,high,backbone 'Czech Republic' not in international_elo; source has 'Czechia' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'Czechia', 'Czech Republic') to join"
Congo DR,fifa_ranking,DR Congo,COD,curated_alias,high,backbone 'DR Congo' not in fifa_ranking; source has 'Congo DR' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Congo DR', 'DR Congo') to join"
IR Iran,fifa_ranking,Iran,IRN,curated_alias,high,backbone 'Iran' not in fifa_ranking; source has 'IR Iran' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'IR Iran', 'Iran') to join"
Côte d'Ivoire,fifa_ranking,Ivory Coast,CIV,curated_alias,high,backbone 'Ivory Coast' not in fifa_ranking; source has 'Côte d'Ivoire' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Côte d'Ivoire', 'Ivory Coast') to join"
Korea DPR,fifa_ranking,North Korea,PRK,curated_alias,high,backbone 'North Korea' not in fifa_ranking; source has 'Korea DPR' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Korea DPR', 'North Korea') to join"
Ireland,international_elo,Republic of Ireland,,curated_alias,high,backbone 'Republic of Ireland' not in international_elo; source has 'Ireland' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'Ireland', 'Republic of Ireland') to join"
Reunion,international_elo,Réunion,,deaccent_case,high,backbone 'Réunion' not in international_elo; source has 'Reunion' (deaccent_case); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'Reunion', 'Réunion') to join"
Saint Barthelemy,international_elo,Saint Barthélemy,,deaccent_case,high,backbone 'Saint Barthélemy' not in international_elo; source has 'Saint Barthelemy' (deaccent_case); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'Saint Barthelemy', 'Saint Barthélemy') to join"
Korea Republic,fifa_ranking,South Korea,KOR,curated_alias,high,backbone 'South Korea' not in fifa_ranking; source has 'Korea Republic' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Korea Republic', 'South Korea') to join"
Sao Tome and Principe,fifa_ranking,São Tomé and Príncipe,STP,deaccent_case,high,backbone 'São Tomé and Príncipe' not in fifa_ranking; source has 'Sao Tome and Principe' (deaccent_case); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'Sao Tome and Principe', 'São Tomé and Príncipe') to join"
Sao Tome and Principe,international_elo,São Tomé and Príncipe,,deaccent_case,high,backbone 'São Tomé and Príncipe' not in international_elo; source has 'Sao Tome and Principe' (deaccent_case); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (international_elo, 'Sao Tome and Principe', 'São Tomé and Príncipe') to join"
USA,fifa_ranking,United States,USA,curated_alias,high,backbone 'United States' not in fifa_ranking; source has 'USA' (curated_alias); maps source name -> backbone canonical,True,"promote to team_name_map.csv as (fifa_ranking, 'USA', 'United States') to join"
